[ 2025-05-30 17:11:12,327 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-30 17:11:15,085 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-30 17:11:15,085 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-30 17:11:15,086 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-30 17:11:15,134 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-30 17:11:15,135 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-30 17:11:15,142 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-30 17:11:15,259 ] 32 root - INFO - Required number of columns:2
[ 2025-05-30 17:11:15,259 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-30 17:11:15,259 ] 32 root - INFO - Required number of columns:2
[ 2025-05-30 17:11:15,259 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-30 17:11:15,379 ] 28 root - INFO - data Validation Completed
[ 2025-05-30 17:11:15,379 ] 31 root - INFO - data Transformation started
[ 2025-05-30 17:11:15,380 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-30 17:11:15,380 ] 65 root - INFO - Starting data transformation
[ 2025-05-30 17:11:15,397 ] 48 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-05-30 17:11:15,397 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-30 17:11:15,407 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 17:11:15,410 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 17:11:15,410 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 17:11:15,413 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 17:11:15,414 ] 35 root - INFO - data Transformation completed
[ 2025-05-30 17:11:15,414 ] 36 root - INFO - Model Training sstared
[ 2025-05-30 17:14:42,093 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 17:14:42,094 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 17:14:42,094 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 17:14:42,109 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 17:14:42,109 ] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_30_2025_17_11_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909635495989441, precision_score=0.9888551165146909, recall_score=0.9930809930809931), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9752, precision_score=0.9697692919649961, recall_score=0.9806918744971842))
[ 2025-05-30 17:14:42,113 ] 41 root - INFO - Model Training artifact created
